Date,Close,High,Low,Open,Volume
2016-03-14,88.97901916503906,89.13620699897257,87.440190478295,87.80421005709192,660600
2016-03-15,88.67290496826172,88.83009911252914,86.96033839146713,88.06068477733135,731900
2016-03-16,90.6253890991211,90.79912699013563,88.2509586312492,88.59843441327827,875000
2016-03-17,93.47138977050781,93.9926034107884,90.60883333086326,90.89840277635538,1523300
2016-03-18,93.9098892211914,95.65554969027455,92.9750056746563,95.65554969027455,1595100
2016-03-21,94.3731689453125,94.47245043481357,93.42174185160259,93.62857355406115,765500
2016-03-22,94.36491394042969,94.88613398094486,93.51276815533824,93.68650606484196,793500
2016-03-23,93.52932739257812,94.3070105429246,93.35558315404917,93.9512596518496,552900
2016-03-24,92.30486297607422,92.80125785902743,91.43616719690357,92.61924492914379,1058600
2016-03-28,92.5696029663086,92.90881001272233,91.73400106036536,92.68542822313204,518300
2016-03-29,93.2811050415039,93.35556143040081,91.42789461114444,92.03183969442976,774000
2016-03-30,94.6048355102539,95.35770606483524,93.65340825494934,94.43937264498516,979500
2016-03-31,94.1084213256836,94.90265427789302,93.74439552225336,94.43935330043813,777500
2016-04-01,93.95124053955078,94.09189090936701,91.77537306961061,92.86744432275215,1326000
2016-04-04,92.6192626953125,93.93471601507149,92.59444389320463,93.6699716059131,781200
2016-04-05,92.139404296875,92.5447927332675,91.35343991055879,91.80847225589994,836500
2016-04-06,92.31311798095703,92.40412442615082,90.53436425035386,92.34621180757314,1194900
2016-04-07,91.81674194335938,92.56960613851116,91.3368908275025,91.69264164622352,566000
2016-04-08,92.2386703491211,93.77749882194084,91.79191308488281,93.01635962153622,524400
2016-04-11,92.64405822753906,93.89331715610571,92.39585766170322,92.50340787383071,576200
2016-04-12,93.47966766357422,94.01743142823273,92.65234073702378,92.66061577365026,394900
2016-04-13,95.59762573242188,95.80445745723283,93.94297193393429,94.31526651379266,962800
2016-04-14,96.30913543701172,96.57387981446301,94.14153650712659,95.48180846847593,1204700
2016-04-15,96.68142700195312,96.76415843379935,95.5148929833093,96.14366322694718,930900
2016-04-18,96.84687805175781,97.01234720726913,95.66380041586419,95.66380041586419,606600
2016-04-19,96.12712097167969,97.78177488254704,95.73000125578987,97.06199815899839,935500
2016-04-20,95.65555572509766,96.59043301860927,95.42389884917912,96.50770157606917,656700
2016-04-21,95.13432312011719,96.16021307097314,94.877853788405,95.17569199194337,532400
2016-04-22,95.23360443115234,95.7548181302801,94.74547825501372,95.35770473437427,974300
2016-04-25,94.9522933959961,95.91199550705905,94.77855552664901,94.77855552664901,649300
2016-04-26,95.90372467041016,96.04436871670529,95.03503528564363,95.57279267583124,803300
2016-04-27,95.71347045898438,96.21814047512011,93.07429509381603,94.76204306895778,908600
2016-04-28,94.51384735107422,95.93685099127958,94.19946532135639,95.02679243198695,739400
2016-04-29,93.87680053710938,94.64621493923515,93.3638554983574,94.28218902063668,894200
2016-05-02,93.68648529052734,94.24079904498579,92.89225231805267,93.92641082054614,1120800
2016-05-03,92.95846557617188,93.10738469402067,92.37933918009564,93.08256589304659,694500
2016-05-04,91.87468719482422,93.13222174936018,91.3782858300283,92.67718926896578,768700
2016-05-05,92.39586639404297,93.17355568262565,91.84155889822489,92.41241015439437,1091300
2016-05-06,92.81783294677734,92.88401432020481,91.63475489569194,92.19733759785854,496900
2016-05-09,92.07321166992188,92.89226353544221,91.77537348027751,92.46205632373554,535500
2016-05-10,94.14981079101562,94.30699862161737,92.09803714817849,92.32141265061455,994900
2016-05-11,94.24909210205078,94.8364935256849,93.6368718778694,94.10017298676296,877000
2016-05-12,94.92767333984375,95.05256848572839,93.85358524912557,94.57796566088061,1120000
2016-05-13,94.1533432006836,95.50219316338405,93.70372442897283,94.75283489629794,1177900
2016-05-16,95.40226745605469,95.83523008500646,93.87856068924235,94.4031126660854,613500
2016-05-17,94.7028579711914,96.1682811773362,94.34482861833872,95.22741629771441,526200
2016-05-18,93.46224975585938,95.11917338487724,92.9710035635478,94.05341333500785,763500
2016-05-19,91.78035736083984,92.72955039528324,91.02266472939154,92.60465523760772,1086800
2016-05-20,92.56299591064453,92.9543309991261,92.22162268293347,92.3881452790223,587000
2016-05-23,93.07923889160156,93.48722375469,91.92188953845117,92.38815795340939,650100
2016-05-24,94.64456939697266,95.17744937958315,93.0709072057588,93.3290191607147,628400
2016-05-25,96.37643432617188,96.5263072211219,95.02757827162172,95.25239079026204,958700
2016-05-26,97.2257308959961,97.59208835246251,96.24323200564415,96.60958946211056,1108900
2016-05-27,97.00924682617188,97.49216502748484,96.55130003340867,97.22572498963123,685800
2016-05-31,96.62622833251953,97.40889227864902,96.01840869274656,97.15910834570887,788100
2016-06-01,96.71781921386719,96.8343863215737,95.1191727965205,96.10999956445674,634800
2016-06-02,97.80854797363281,97.80854797363281,96.10999067952217,96.58458710343321,695600
2016-06-03,98.39974212646484,98.58292086507369,96.20160996802338,97.70866101350687,821700
2016-06-06,99.00755310058594,99.57373263874094,98.24153241160496,98.74943474076802,967300
2016-06-07,98.94091033935547,99.91508085308995,98.89094847927669,99.29061159775814,686500
2016-06-08,99.09911346435547,99.90676145412394,98.79937404012057,99.33225400920753,700500
2016-06-09,98.86598205566406,99.11577232739508,98.07499011589996,98.3830639373775,505000
2016-06-10,97.16741180419922,98.14991033530842,96.51796480696986,97.70029171743509,779400
2016-06-13,96.53462219238281,97.22569667049164,95.93513069371947,96.4430328605076,715600
2016-06-14,96.68450164794922,97.33394869822969,95.75195854739538,96.15162169118422,441500
2016-06-15,96.23490142822266,97.50881801741045,96.12665599748685,96.89267664045278,677100
2016-06-16,96.49301147460938,96.79275729571965,94.81111001387393,95.54381849190392,842300
